author_year,study_id,esid,theory,narrative-synthesis,Pairs of Groups,DV,n_exp,n_con,sample_size,yi,vi,form_of_cognition,measurment_type,sim_acc,task_team,occupation,pub_type,comparison_group,digital_tech,shuffler_tdi_category,IMO_tdi_category,tdi_mechanism,ROB,n_ind,n_team,t_size,sex,age
Cassidy & Stanley (2019),6,37,role theory,promising,High role clarity / low role clarity,MM similarity Task - team level,52,49,101,0.487163375,0.040521761,Structured,Subjective,Similarity,Task,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Cassidy & Stanley (2019),6,35,role theory,promising,High role clarity / low role clarity,MM task - Individual level,52,49,101,0.470662654,0.04044292,Perceptual,Subjective,Similarity,Task,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Cassidy & Stanley (2019),6,38,role theory,promising,High role clarity / low role clarity,MM similarity Team  - team level,52,49,101,0.227123934,0.039595204,Structured,Subjective,Similarity,Team,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Cassidy & Stanley (2019),6,36,role theory,promising,High role clarity / low role clarity,MM team - Individual level,52,49,101,0.219146622,0.039577446,Perceptual,Subjective,Similarity,Team,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Dallenborg et al. (2009),11,74,none mentioned,effective,Team Strategy Discussion / No Strat Discussion,Shared Mental Models,22,19,46,2.49747308,0.173754486,Perceptual,Subjective,Similarity,Combined,Military Cadets,Journal,No Treatment,NO,team building,multicomponent,strategy planning,Some concerns,10.86111111,-6.444444444,0.583333333,9999,-1.083076923
Putri (2012),28,111,none mentioned,promising,Treatment / Control,Team SMM Degree Overall,30,30,60,0.780707877,0.070946904,Perceptual,Subjective,Similarity,Combined,Course Development Teams,Thesis,No Treatment,NO,team building,multicomponent,strategy planning,Low,-27.13888889,7.555555556,-0.416666667,-0.071,24.38692308
Putri (2012),28,112,none mentioned,promising,Treatment / Control,Team -SMM Similarity Overall,30,30,60,0.406729982,0.067197582,Perceptual,Subjective,Similarity,Combined,Course Development Teams,Thesis,No Treatment,NO,team building,multicomponent,strategy planning,Low,-27.13888889,7.555555556,-0.416666667,-0.071,24.38692308
Rittman (2004),31,120,none mentioned,promising,high interp low intera / Low interp & Interac,Team Role MM's,15,14,66,2.310344955,0.228907301,Perceptual,Subjective,Similarity,Team,University Students,Thesis,Active,NO,team building,multicomponent,role clarity ,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,116,none mentioned,promising,high interpo & interac / Low interp & Interac,Team Role MM's,17,14,66,1.772680266,0.178895617,Perceptual,Subjective,Similarity,Team,University Students,Thesis,Active,NO,team building,multicomponent,interpositional knowledge or training,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,121,none mentioned,promising,high interp low intera / Low interp & Interac,Team interaction MM's,15,14,66,0.939540677,0.149882034,Structured,Subjective,Similarity,Combined,University Students,Thesis,Active,NO,team building,multicomponent,role clarity ,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,117,none mentioned,promising,high interpo & interac / Low interp & Interac,Team interaction MM's,17,14,66,0.901231535,0.140305416,Structured,Subjective,Similarity,Combined,University Students,Thesis,Active,NO,team building,multicomponent,interpositional knowledge or training,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,119,none mentioned,promising,Low interp high intera /  Low interp & Interac,Team interaction MM's,15,14,66,0.829136274,0.146418198,Structured,Subjective,Similarity,Combined,University Students,Thesis,Active,NO,team building,multicomponent,shaping knowledge,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,118,none mentioned,promising,Low interp high intera /  Low interp & Interac,Team Role MM's,15,14,66,0.245219312,0.135290083,Perceptual,Subjective,Similarity,Team,University Students,Thesis,Active,NO,team building,multicomponent,shaping knowledge,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Toader & Kessler (2018),33,125,cognitive flexibility theory,effective,Task variation on initial task / Control,Mental models convergence,8,9,17,1.054309194,0.258550054,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team building,multicomponent,critical thinking,Low,-122.1388889,-35.44444444,-0.416666667,-0.101,1.676923077
Kim & Kim (2008),20,96,coordination theory,non-effective,Tutor Condition  / Control condition,Shared Mental Models,2,2,6,0.203526682,0.580489877,Perceptual,Subjective,Similarity,Combined,University Students,Journal,No Treatment,Digital/Technology,team coaching,multicomponent,performance feedback & guidance,Some concerns,-155.1388889,-46.44444444,-0.416666667,0.029,0.926923077
Bedwell (2019),3,8,team adaptation theory,non-effective, 2 member control / membership replacement ,Teammate TMM distance,15,15,60,0.660952068,0.137212939,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,19,team adaptation theory,non-effective, 2 member control / membership loss ,Teammate TMM Similarity,15,15,60,0.634081255,0.136616852,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,15,team adaptation theory,non-effective, 2 member control / membership loss ,Task MM Similarity,15,15,60,0.513201969,0.134241268,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,18,team adaptation theory,non-effective, 2 member control / membership loss ,Team Interaction MM Distance,15,15,60,0.488045253,0.133809805,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,25,team adaptation theory,non-effective, 3 member control / membership loss ,Teammate TMM Similarity,15,15,60,0.486486486,0.133783784,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,20,team adaptation theory,non-effective, 2 member control / membership loss ,Teammate TMM distance,15,15,60,0.466115074,0.133451369,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,7,team adaptation theory,non-effective, 2 member control / membership replacement ,Teammate TMM Similarity,15,15,60,0.418997366,0.132736987,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,14,team adaptation theory,non-effective, 3 member control / membership replacement ,Teammate TMM distance,15,15,60,0.398538317,0.132450477,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,23,team adaptation theory,non-effective, 3 member control / membership loss ,Task MM Distance,15,15,60,0.369561026,0.132069215,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,17,team adaptation theory,non-effective, 2 member control / membership loss ,Task MM Distance,15,15,60,0.361667383,0.131970342,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,4,team adaptation theory,non-effective, 2 member control / membership replacement ,Team Interaction MM similarity,15,15,60,0.294045105,0.131210801,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,10,team adaptation theory,non-effective, 3 member control / membership replacement ,Team Interaction MM similarity,15,15,60,0.26985415,0.130977131,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,13,team adaptation theory,non-effective, 3 member control / membership replacement ,Teammate TMM Similarity,15,15,60,0.23783376,0.130698665,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,26,team adaptation theory,non-effective, 3 member control / membership loss ,Teammate TMM distance,15,15,60,0.198556214,0.130405058,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,3,team adaptation theory,non-effective, 2 member control / membership replacement ,Task MM Similarity,15,15,60,0.162021579,0.1301794,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,6,team adaptation theory,non-effective, 2 member control / membership replacement ,Team Interaction MM Distance,15,15,60,0.073369907,0.129821941,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,16,team adaptation theory,non-effective, 2 member control / membership loss ,Team Interaction MM similarity,15,15,60,0.072022691,0.129818586,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,24,team adaptation theory,non-effective, 3 member control / membership loss ,Team Interaction MM Distance,15,15,60,0.046586419,0.129766906,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,5,team adaptation theory,non-effective, 2 member control / membership replacement ,Task MM Distance,15,15,60,0.010777003,0.129731719,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,21,team adaptation theory,non-effective, 3 member control / membership loss ,Task MM Similarity,15,15,60,0,0.12972973,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,22,team adaptation theory,non-effective, 3 member control / membership loss ,Team Interaction MM similarity,15,15,60,0,0.12972973,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,11,team adaptation theory,non-effective, 3 member control / membership replacement ,Task MM Distance,15,15,60,-0.117295751,0.129965404,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,12,team adaptation theory,non-effective, 3 member control / membership replacement ,Team Interaction MM Distance,15,15,60,-0.451428528,0.133220538,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Bedwell (2019),3,9,team adaptation theory,non-effective, 3 member control / membership replacement ,Task MM Similarity,15,15,60,-0.451448191,0.133220842,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team composition,input,alterations to human capital resources,Low,-8.138888889,7.555555556,-0.916666667,0.039,9999
Gurtner et al. (2007),18,90,mathematical graph theory,effective,Group Reflexivity / Control,"Team
 interaction mental models",17,17,49,1.235031275,0.137841593,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,Digital/Technology,team debriefing,outcome,sensemaking or sensegiving,Some concerns,-26.13888889,-3.444444444,-0.416666667,0.129,2.326923077
Gurtner et al. (2007),18,91,mathematical graph theory,effective,Individual Reflection / Control,"Team
 interaction mental models",15,17,49,1.217711041,0.146094843,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,Digital/Technology,team debriefing,outcome,sensemaking or sensegiving,Some concerns,-26.13888889,-3.444444444,-0.416666667,0.129,2.326923077
Boies et al. (2018),4,30,information processing theory,promising,intellectual stimlation / Control,Teamwork Mental Model,14,16,44,0.880583263,0.143591656,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team leadership,multicomponent,critical thinking,Some concerns,-44.13888889,-8.444444444,-0.416666667,-0.011,9999
Boies et al. (2018),4,28,information processing theory,promising,Inspirational motivation / Control,Teamwork Mental Model,14,16,44,0.817460806,0.141755621,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team leadership,multicomponent,inspirational motivation,Some concerns,-44.13888889,-8.444444444,-0.416666667,-0.011,9999
Boies et al. (2018),4,27,information processing theory,promising,Inspirational motivation / Control,Taskwork Mental Model,14,16,44,0.620750028,0.136909451,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,inspirational motivation,Some concerns,-44.13888889,-8.444444444,-0.416666667,-0.011,9999
Boies et al. (2018),4,29,information processing theory,promising,intellectual stimlation / Control,Taskwork Mental Model,14,16,44,0.354646763,0.132463348,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,critical thinking,Some concerns,-44.13888889,-8.444444444,-0.416666667,-0.011,9999
Burke (2000),5,34,functional leadership theory,effective,Embellishment / No Sense-making,MM - Accuracy,19,19,83,3.5289,0.2762,Perceptual,Subjective,Accuracy,Team,University Students,Thesis,No Treatment,NO,team leadership,multicomponent,sensemaking or sensegiving,Low,75.86111111,30.55555556,-0.416666667,-0.061,-3.663076923
Burke (2000),5,32,functional leadership theory,effective,Framework / No Sense-making,MM - Accuracy,19,19,83,2.8428,0.2162,Perceptual,Subjective,Accuracy,Team,University Students,Thesis,No Treatment,NO,team leadership,multicomponent,sensemaking or sensegiving,Low,75.86111111,30.55555556,-0.416666667,-0.061,-3.663076923
Burke (2000),5,33,functional leadership theory,effective,Embellishment / No Sense-making,MM - Sharedness,19,19,83,1.0291,0.1198,Perceptual,Subjective,Similarity,Team,University Students,Thesis,No Treatment,NO,team leadership,multicomponent,sensemaking or sensegiving,Low,75.86111111,30.55555556,-0.416666667,-0.061,-3.663076923
Burke (2000),5,31,functional leadership theory,effective,Framework / No Sense-making,MM - Sharedness,19,19,83,0.6734,0.1115,Perceptual,Subjective,Similarity,Team,University Students,Thesis,No Treatment,NO,team leadership,multicomponent,sensemaking or sensegiving,Low,75.86111111,30.55555556,-0.416666667,-0.061,-3.663076923
DeChurch (2002),12,79,functional leadership theory,non-effective,Both Cor and Strat / Control,Mental Model accuracy,16,16,64,0.2847,0.1263,Structured,Subjective,Accuracy,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,-143.1388889,-42.44444444,-0.416666667,0.099,-0.073076923
DeChurch (2002),12,77,functional leadership theory,non-effective,Strategy Training / Control,Mental Model accuracy,16,16,64,0.2189,0.1258,Structured,Subjective,Accuracy,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,-143.1388889,-42.44444444,-0.416666667,0.099,-0.073076923
DeChurch (2002),12,75,functional leadership theory,non-effective,Cordination Training / Control,Mental Model accuracy,16,16,64,-0.0387,0.125,Structured,Subjective,Accuracy,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,-143.1388889,-42.44444444,-0.416666667,0.099,-0.073076923
DeChurch (2002),12,80,functional leadership theory,non-effective,Both Cor and Strat / Control,Mental Model Similarity,16,16,64,-0.0503,0.125,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,-143.1388889,-42.44444444,-0.416666667,0.099,-0.073076923
DeChurch (2002),12,78,functional leadership theory,non-effective,Strategy Training / Control,Mental Model Similarity,16,16,64,-0.1382,0.1253,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,-143.1388889,-42.44444444,-0.416666667,0.099,-0.073076923
DeChurch (2002),12,76,functional leadership theory,non-effective,Cordination Training / Control,Mental Model Similarity,16,16,64,-0.2082,0.1257,Structured,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,-143.1388889,-42.44444444,-0.416666667,0.099,-0.073076923
Marks et al. (2000),23,102,none mentioned,effective,Enhanced Briefing Only / Control,Mental Model Accuracy,19.5,19.5,79,1.2836,0.1246,Structured,Subjective,Accuracy,Team,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,63.86111111,26.55555556,-0.416666667,-0.141,-3.243076923
Marks et al. (2000),23,101,none mentioned,effective,Enhanced Briefing Only / Control,Mental Model Similarity ,19.5,19.5,79,0.8447,0.1121,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team leadership,multicomponent,shaping knowledge,Some concerns,63.86111111,26.55555556,-0.416666667,-0.141,-3.243076923
Randall (2008),29,114,functional leadership theory,effective,Leader Sensegivig / control,Mental model Quality,38,36,74,0.871564346,0.058714944,Structured,Subjective,Accuracy,Task,University Students,Thesis,No Treatment,NO,team leadership,multicomponent,sensemaking or sensegiving,Low,48.86111111,21.55555556,-0.416666667,0.089,-3.073076923
Randall (2008),29,113,functional leadership theory,effective,Leader Sensegivig / control,Mental model similarity,38,36,74,0.611603631,0.056082253,Structured,Subjective,Similarity,Task,University Students,Thesis,No Treatment,NO,team leadership,multicomponent,sensemaking or sensegiving,Low,48.86111111,21.55555556,-0.416666667,0.089,-3.073076923
Crespin (1996),9,72,multiple (cognitive elaboration theory & elaboration likelihood model),promising,Justification / Control,Av. PfNet Similatity,44,37,116,2.110514217,0.077040324,Structured,Subjective,Similarity,Task,University Students,Thesis,No Treatment,NO,team performance monitoring & assessment,process,sensemaking or sensegiving,Some concerns,290.8611111,63.55555556,0.583333333,-0.101,-4.073076923
Crespin (1996),9,71,multiple (cognitive elaboration theory & elaboration likelihood model),promising,Justification / Control,Av. Proximity Rating Similarity,44,37,116,0.616243047,0.051647159,Structured,Subjective,Similarity,Task,University Students,Thesis,No Treatment,NO,team performance monitoring & assessment,process,sensemaking or sensegiving,Some concerns,290.8611111,63.55555556,0.583333333,-0.101,-4.073076923
Crespin (1996),9,69,multiple (cognitive elaboration theory & elaboration likelihood model),promising,Recall / Control,Av. Proximity Rating Similarity,35,37,116,0.163225622,0.055187652,Structured,Subjective,Similarity,Task,University Students,Thesis,No Treatment,NO,team performance monitoring & assessment,process,sensemaking or sensegiving,Some concerns,290.8611111,63.55555556,0.583333333,-0.101,-4.073076923
Crespin (1996),9,70,multiple (cognitive elaboration theory & elaboration likelihood model),promising,Recall / Control,Av. PfNet Similatity,35,37,116,-0.144704879,0.055147617,Structured,Subjective,Similarity,Task,University Students,Thesis,No Treatment,NO,team performance monitoring & assessment,process,sensemaking or sensegiving,Some concerns,290.8611111,63.55555556,0.583333333,-0.101,-4.073076923
Grand et al. (2016),17,89,process-oriented theory,effective,Contextualised Guidance / no Guidance,Correctly posted Obsticals,102,110,263,0.527851185,0.019486766,Structured,Objective,Similarity,Task,University Students,Journal,No Treatment,Digital/Technology,team performance monitoring & assessment,process,performance feedback & guidance,Low,615.8611111,210.5555556,-0.416666667,9999,9999
Ouverson (2019),27,110,none mentioned,non-effective,Public performance feedback / Private performance feedback,Shared role awareness,18,19,37,-0.274956746,0.106896335,Structured,Subjective,Similarity,Team,University Students,Thesis,Active,NO,team performance monitoring & assessment,process,performance feedback & guidance,Low,-62.13888889,-15.44444444,-0.416666667,-0.121,0.126923077
